"Source:","D:\Synkom\Projects\display_control\hardware\devkit-lipo\ESP32-DevKit-LiPo\HARDWARE\ESP32-DevKit-LiPo-Rev.C\ESP32-DevKit-Lipo_Rev_C.kicad_sch"
"Date:","9/19/2023 3:00:29 PM"
"Tool:","Eeschema 7.0.1"
"Generator:","D:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","57"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Fieldname 1","Fieldname2","Fieldname3","Note"
"1","1","BAT1","DW02S","ESP32-DevKit-Lipo_Rev_C:BAT_CON","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","","","Value 1","Value2","Value3",""
"2","4","C1, C4, C6, C7","22uF/6.3V/20%/X5R/C0603","ESP32-DevKit-Lipo_Rev_C:C","OLIMEX_RLC-FP:C_0603_5MIL_DWS","","","Value 1","Value2","Value3",""
"3","2","C2, C3","27pF/50V/5%/C0G/C0402","ESP32-DevKit-Lipo_Rev_C:C","OLIMEX_RLC-FP:C_0402_5MIL_DWS","","","Value 1","Value2","Value3",""
"4","3","C5, C9, C10","100nF/10V/10%/X7R/C0402","ESP32-DevKit-Lipo_Rev_C:C","OLIMEX_RLC-FP:C_0402_5MIL_DWS","","","Value 1","Value2","Value3",""
"5","1","C8","1uF/10V/10%/X5R/C0603","ESP32-DevKit-Lipo_Rev_C:C","OLIMEX_RLC-FP:C_0603_5MIL_DWS","","","Value 1","Value2","Value3",""
"6","1","CHARGING1","LED/YELLOW/0603","ESP32-DevKit-Lipo_Rev_C:LED","OLIMEX_LEDs-FP:LED_0603_KA","","","Value 1","Value2","Value3",""
"7","4","D1, D2, D4, D5","1N5819S4/SOD123","ESP32-DevKit-Lipo_Rev_C:D_Schottky","OLIMEX_Diodes-FP:SOD-123_1C-2A_KA","","","Value 1","Value2","Value3",""
"8","1","D3","BAT54C(SOT23-3)","ESP32-DevKit-Lipo_Rev_C:BAT54C(SOT23-3)","OLIMEX_Diodes-FP:SOT23-3","","","","","",""
"9","2","D_Com1, GND1","TESTPAD","ESP32-DevKit-Lipo_Rev_C:TESTPAD","OLIMEX_Other-FP:TESTPAD_40-ROUND","","","Value 1","Value2","Value3",""
"10","1","FET1","WPM2015-3/TR","ESP32-DevKit-Lipo_Rev_C:P-MOS+DIOD","OLIMEX_Transistors-FP:SOT23","","","Value 1","Value2","Value3",""
"11","4","FID1, FID2, FID3, FID4","Fiducial","ESP32-DevKit-Lipo_Rev_C:Fiducial","Fiducial:Fiducial_1mm_Mask2mm","","","","","",""
"12","4","H1, H2, H3, H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.5mm_Pad_Via","~","","","","",""
"13","1","J1","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","","","",""
"14","1","J2","Conn_01x07","Connector_Generic:Conn_01x07","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~","","","","",""
"15","1","L1","2.2uH/1.5A/DCR=72mR/20%/3.00x3.00x1.50mm/CD32(NR3015T2R2M)","ESP32-DevKit-Lipo_Rev_C:L","OLIMEX_RLC-FP:CD32","","","Value 1","Value2","Value3",""
"16","1","Q1","Q12MHz/20pF/10ppm/4P/3.2x2.5mm","ESP32-DevKit-Lipo_Rev_C:Crystal_GND","OLIMEX_Crystal-FP:TSX-3.2x2.5mm_GND(3)","","","","","",""
"17","2","Q2, Q3","BC817-40(SOT23)","ESP32-DevKit-Lipo_Rev_C:Q_NPN_BEC","OLIMEX_Transistors-FP:SOT23","","","","","",""
"18","5","R1, R6, R13, R14, R17","10k/R0402","ESP32-DevKit-Lipo_Rev_C:R","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","","Value 1","Value2","Value3",""
"19","3","R2, R5, R16","470k/R0402","ESP32-DevKit-Lipo_Rev_C:R","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","","Value 1","Value2","Value3",""
"20","4","R3, R4, R8, R9","2.2k/R0402","ESP32-DevKit-Lipo_Rev_C:R","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","","Value 1","Value2","Value3",""
"21","1","R10","220R/R0402","ESP32-DevKit-Lipo_Rev_C:R","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","","","","",""
"22","1","R11","100k/R0402","ESP32-DevKit-Lipo_Rev_C:R","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","","Value 1","Value2","Value3",""
"23","1","R12","22k/1%/R0402","ESP32-DevKit-Lipo_Rev_C:R","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","","Value 1","Value2","Value3",""
"24","1","R15","220k/R0402","ESP32-DevKit-Lipo_Rev_C:R","OLIMEX_RLC-FP:R_0402_5MIL_DWS","","","Value 1","Value2","Value3",""
"25","1","RST1","IT-1185AU2-160G-G-TR","ESP32-DevKit-Lipo_Rev_C:SIDE_WTCM-TR(3x4)","OLIMEX_Buttons-FP:IT1185AU2_V2","","","Value 1","Value2","Value3",""
"26","1","U1","BL4054B-42TPRN(SOT23-5)","ESP32-DevKit-Lipo_Rev_C:BL4054B-42TPRN(SOT23-5)","OLIMEX_IC-FP:SOT-23-5","https://datasheet.lcsc.com/szlcsc/BL4054B-42TPRN_C83783.pdf","","","","","PB-Free"
"27","1","U2","CH340T(SSOP20W)","ESP32-DevKit-Lipo_Rev_C:CH340T(SSOP20W)","OLIMEX_IC-FP:SSOP-20W","https://datasheet.lcsc.com/szlcsc/1811151532_WCH-Jiangsu-Qin-Heng-CH340T_C8689.pdf","","","","","PB-Free"
"28","1","U3","SY8089AAAC(SOT23-5)","ESP32-DevKit-Lipo_Rev_C:SY8009AAAC(SOT23-5)","OLIMEX_Regulators-FP:SOT-23-5","https://datasheet.lcsc.com/szlcsc/1810311621_BL-Shanghai-Belling-BL4054B-42TPRN_C83783.pdf","","","","","PB-Free"
"29","1","U4","~","Display_Graphic:Waveshare_1.5inch_OLED_display_Module,_128x128_pixels","Display:Waveshare 1.5inch OLED display Module, 128x128 pixels","","","","","",""
"30","1","U5","ESP32-WROOM-32D-4MB","ESP32-DevKit-Lipo_Rev_C:ESP32-WROVER(_PCB,_IPEX,-xB)_and_ESP-WROOM-32-Universal","OLIMEX_Cases-FP:ESP32-WROVER_MODULE","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","","","","","PB-Free"
